feature,KS,IV
loan_amnt,0.0202182124204,0.00414014592253
annual_inc,0.0412859096719,0.0214278120794
dti,0.0767771814668,0.048852357037
delinq_2yrs,0.00655499210718,0.000424604606921
fico_range_low,0.0707324798577,0.0727101853946
fico_range_high,0.0707324798577,0.0727101853946
inq_last_6mths,0.114747187498,0.0379078323552
mths_since_last_delinq,0.0824280369037,0.0600892203718
mths_since_last_record,0.120586210247,0.0917119786311
open_acc,0.00948315975671,0.00105964718285
pub_rec,0.0241230756291,0.00318280680863
revol_bal,0.0246136110011,0.00643175947196
total_acc,0.0110169538609,0.00083620155682
acc_now_delinq,0.00149526110424,0.000137206182402
tot_coll_amt,0.00630506806165,0.000288270389981
tot_cur_bal,0.0823656762473,0.0352516577307
open_acc_6m,0.108676730613,0.0916342026995
open_il_6m,0.108676730613,0.0916342026995
open_il_12m,0.108676730613,0.0916342026995
open_il_24m,0.108676730613,0.0916342026995
mths_since_rcnt_il,0.108676730613,0.0916342026995
total_bal_il,0.108676730613,0.0916342026995
il_util,0.108676730613,0.0916342026995
open_rv_12m,0.108676730613,0.0916342026995
open_rv_24m,0.108676730613,0.0916342026995
max_bal_bc,0.108676730613,0.0916342026995
all_util,0.108676730613,0.0916342026995
total_rev_hi_lim,0.0460764465263,0.0275045605835
inq_fi,0.108676730613,0.0916342026995
total_cu_tl,0.108676730613,0.0916342026995
inq_last_12m,0.108676730613,0.0916342026995
acc_open_past_24mths,0.0787776079002,0.0745834635633
avg_cur_bal,0.0780023404594,0.0384265109899
bc_open_to_buy,0.056710728868,0.034800490289
bc_util,0.0487617163123,0.0164784564145
chargeoff_within_12_mths,0.00158277976589,0.000125046008899
delinq_amnt,0.00118948541119,9.57361706125e-05
mo_sin_old_il_acct,0.0304767632294,0.0101978178016
mo_sin_old_rev_tl_op,0.0507539685835,0.0278858946306
mo_sin_rcnt_rev_tl_op,0.0439448571202,0.0262897982222
mo_sin_rcnt_tl,0.0620151373533,0.0466906238073
mort_acc,0.0770900285183,0.0156556877569
mths_since_recent_bc,0.0405402929354,0.0230760327873
mths_since_recent_bc_dlq,0.114400999688,0.0794473526917
mths_since_recent_inq,0.0704809136628,0.039212929543
mths_since_recent_revol_delinq,0.105970595137,0.0689235108335
num_accts_ever_120_pd,0.0194307501152,0.00154734990652
num_actv_bc_tl,0.0182636921683,0.000869125175771
num_actv_rev_tl,0.0258359690551,0.0043591674608
num_bc_sats,0.0133821023588,0.000262990161283
num_bc_tl,0.016928775793,0.000766029377231
num_il_tl,0.0132713449972,0.00240594986996
num_op_rev_tl,0.0101969406911,0.00146064388573
num_rev_accts,0.0107087732852,0.000575680509041
num_rev_tl_bal_gt_0,0.0229548935374,0.003708694203
num_sats,0.00981741045814,0.00102944026935
num_tl_120dpd_2m,0.00203511472515,7.23702541331e-05
num_tl_30dpd,0.000649782840312,3.00031470854e-05
num_tl_90g_dpd_24m,0.00584727285186,0.000470248468823
num_tl_op_past_12m,0.0716513379466,0.0634594342016
pct_tl_nvr_dlq,0.0101396993834,0.000322607615652
percent_bc_gt_75,0.0401994121079,0.0114746173457
pub_rec_bankruptcies,0.0229435295867,0.00367786918635
tax_liens,0.000572294177475,6.60287083611e-06
tot_hi_cred_lim,0.0777751218656,0.0399603435421
total_bal_ex_mort,0.0181094251935,0.0018239083336
total_bc_limit,0.0532130513503,0.0363572595408
total_il_high_credit_limit,0.0293803407086,0.00158173647715
