feature,PSI_1_2,PSI_1_3,PSI_1_4,PSI_1_5,PSI_1_6,PSI_1_7,PSI_1_8,PSI_1_9,PSI_1_10,PSI_1_11,PSI_1_12,PSI_1_2,PSI_2_3,PSI_3_4,PSI_4_5,PSI_5_6,PSI_6_7,PSI_7_8,PSI_8_9,PSI_9_10,PSI_10_11,PSI_11_12
loan_amnt,0.00133131510677,0.000574448486604,0.000529732476875,0.000678794253353,0.00108185579121,0.000864040273814,0.00171723215405,0.0045765495674,0.00275953261067,0.00281275842394,0.00692110521211,0.00133131510677,0.000918556924386,0.000995801756335,0.000374503301558,0.000618644421947,0.000635804279088,0.00202509941918,0.00103629446538,0.00432699459058,0.000405580691819,0.00135372202035
annual_inc,0.000541190847541,0.000596921986927,0.000705251172082,0.000273808250832,0.000622037705984,0.000810889762597,0.000884953870344,0.00682172705139,0.00296800892161,0.00311637884457,0.00525627298244,0.000541190847541,0.000502946085023,0.000532643033234,0.00105862590272,0.000779650450882,0.00186382579565,0.00049391139255,0.00391111309523,0.00127067682585,7.88025271005e-05,0.0004536500774
dti,0.000538215001985,0.000496512078537,0.000538664151314,0.000588502343206,0.000335596640568,0.00166911656776,0.00119995255548,0.000488408610761,0.000427417989468,0.00120444022574,0.00150573287258,0.000538215001985,0.000922939819321,0.000638231186982,0.00052022652484,0.000587903044232,0.00277591876639,0.00484704164993,0.00198673207731,0.000577138779464,0.000844437738981,0.000294341261995
delinq_2yrs,0.000877610731897,8.52775078462e-05,6.10793969827e-05,0.000280485074481,0.00023618134543,5.5367064125e-05,0.000756064243758,0.000336834472802,0.000290911446672,0.000258809320661,0.000156235517024,0.000877610731897,0.000748309250639,6.06900191848e-05,0.000149614646051,2.03041413772e-05,6.96688457815e-05,0.00042357883814,0.00102630343278,0.000721871253778,1.45994350028e-06,2.99254706812e-05
fico_range_low,0.00146004477879,0.000738473431755,0.00140147650438,0.00138801336198,0.00354251755928,0.00666212141807,0.00556912710142,0.0100078455862,0.0078083528828,0.0092129810155,0.00692044668632,0.00146004477879,0.00220055334577,0.00129021982844,0.000265705515096,0.00127927546481,0.00087960411244,0.000787320925036,0.00156373785839,0.00075794897503,0.000484567395406,0.000472108511702
fico_range_high,0.00146004477879,0.000738473431755,0.00140147650438,0.00138801336198,0.00354251755928,0.00666212141807,0.00556912710142,0.0100078455862,0.0078083528828,0.0092129810155,0.00692044668632,0.00146004477879,0.00220055334577,0.00129021982844,0.000265705515096,0.00127927546481,0.00087960411244,0.000787320925036,0.00156373785839,0.00075794897503,0.000484567395406,0.000472108511702
inq_last_6mths,0.00131106715686,0.00156313683236,0.000788677808897,0.00121186300214,0.00286110085972,0.00352968554997,0.00434869297639,0.00203331981,0.00199684866927,0.00124872296289,0.000885023921985,0.00131106715686,0.000339012770347,0.000221757151125,0.000168742319554,0.000389507948078,0.000170347540111,0.000190209357564,0.000658534435153,0.000194991056068,0.000491465400892,0.00075945957424
mths_since_last_delinq,0.000310773462586,0.000664568718744,0.0020536127034,0.00367626106964,0.00283932050435,0.00270475003268,0.00189701792987,0.00250316276311,0.00160783999171,0.00155964746681,0.00130451350227,0.000310773462586,0.000465965840043,0.000573022679434,0.000844135563821,0.000704406188876,0.000995124927379,0.000649459996497,0.000997263704594,0.00121518575128,0.000393219366611,0.000475502954145
mths_since_last_record,0.000430719334636,0.000810931583531,0.00211039418954,0.00236183420281,0.00311398952013,0.00730921695443,0.00435346321436,0.00596083572377,0.0110118759062,0.0104807670794,0.0100184325677,0.000430719334636,0.000539255233955,0.000571343414364,0.000360738933952,0.000404928710993,0.00164963029508,0.00271647458921,0.001301130298,0.00204816772062,0.000842097368823,0.00022939197342
open_acc,0.000290534725105,0.000600531138139,0.000761264224642,0.000481720211989,0.000605920054254,0.00240330991372,0.000974104042161,0.00139627039874,0.00100647479975,0.00130467614364,0.00142205979038,0.000290534725105,0.00116934464856,0.00129533247654,0.000528450314356,0.000328865077363,0.00206344211346,0.00332822305805,0.00270976438592,0.00111160669378,0.000242106415886,0.00121197790488
